symbolic_metric,measured_metric,RMSE,RMAE,R2
Symbolic Bytes,L2 Misses,778399256315.905,0.6220600661943576,0.01109977514439675
Symbolic Bytes,L2 DRead + DWrite,777062818303.434,0.7873033891719254,0.012574263310479394
Symbolic Bytes,L2 Access,778164758597.5104,0.9406792796144007,0.014893883783490658
Symbolic Bytes,LST,79192590801.0173,0.6567981768311036,0.571578189863108
Symbolic Bytes,L3 Misses,17648678364.888042,3.654358924096576,0.6943023860988831
Symbolic Bytes,L3 DRead + DWrite,777772533393.5391,5.671050407249956,0.02003947406009976
Symbolic Bytes,L3 Access,778399986770.0249,0.622849117795655,0.011089079440927296
Symbolic Bytes,PAPI FLOPs,39682374080.71618,6.274451459744953,-9.849347589437366
symbolic_volume_write_bytes,L2 Misses,830404905796.5458,0.8389161000805249,-0.1254532596966773
symbolic_volume_write_bytes,L2 DRead + DWrite,829044738166.4615,0.814122804933582,-0.12395291850978585
symbolic_volume_write_bytes,L2 Access,830129924567.2375,0.7289762327598757,-0.12106820971841459
symbolic_volume_write_bytes,LST,131263530743.83179,0.7904679912450842,-0.17703840363715928
symbolic_volume_write_bytes,L3 Misses,36873372349.30813,1.571216243481173,-0.3344226037453517
symbolic_volume_write_bytes,L3 DRead + DWrite,829704591407.3226,1.594600496870917,-0.11519384672112798
symbolic_volume_write_bytes,L3 Access,830405569060.7269,0.8393863256221674,-0.12546511791103
symbolic_volume_write_bytes,PAPI FLOPs,12944299689.594898,1.5220125752235,-0.15442426894419836
symbolic_volume_read_bytes,L2 Misses,778517831991.131,0.6159807983081996,0.010798468476457379
symbolic_volume_read_bytes,L2 DRead + DWrite,777182271539.9202,0.724813355855564,0.01227065782781711
symbolic_volume_read_bytes,L2 Access,778277196705.0999,0.832685778379996,0.014609184512694773
symbolic_volume_read_bytes,LST,79356730310.3584,0.6408384348571303,0.5698004017951408
symbolic_volume_read_bytes,L3 Misses,17552645660.28328,2.6516624677079257,0.6976201527011301
symbolic_volume_read_bytes,L3 DRead + DWrite,777871192149.0182,3.9905873417558917,0.019790846566359765
symbolic_volume_read_bytes,L3 Access,778518619257.9813,0.6163230818342333,0.010787625420510372
symbolic_volume_read_bytes,PAPI FLOPs,39314821862.37267,4.194956625590265,-9.649297359974934
