symbolic_metric,measured_metric,RMSE,RMAE,R2
Symbolic Bytes,L2 Misses,445121593236.2108,0.7631516364124818,0.024939888144984268
Symbolic Bytes,L2 DRead + DWrite,437694386033.7511,0.747905757930594,0.054662317952099526
Symbolic Bytes,L2 DMisses,445121593236.2108,0.7631516364124818,0.024939888144984268
Symbolic Bytes,L2 Access,410563724341.5089,0.8243059927611069,0.08438641739610164
Symbolic Bytes,LST,79325844665.99171,0.7232020512431875,0.23830634429646602
Symbolic Bytes,L3 Misses,20157685493.579178,1.7648325719612183,0.1996765274487814
Symbolic Bytes,L3 DRead + DWrite,438125061560.573,2.5139122249767603,0.05598205032179038
Symbolic Bytes,L3 DMisses,20157685493.579178,1.7648325719612183,0.1996765274487814
Symbolic Bytes,L3 Access,412235403977.5744,0.7406843709010202,0.0727227598137099
Symbolic Bytes,PAPI FLOPs,342783357574.6539,2102383.8859877987,-0.08628106965127436
symbolic_volume_write_bytes,L2 Misses,471118096950.9502,0.9137249634394293,-0.0922791380560457
symbolic_volume_write_bytes,L2 DRead + DWrite,463894334145.3159,0.8889309967300693,-0.06189885735312339
symbolic_volume_write_bytes,L2 DMisses,471118096950.9502,0.9137249634394293,-0.0922791380560457
symbolic_volume_write_bytes,L2 Access,438009760504.4041,0.8618238633696986,-0.042122216637802135
symbolic_volume_write_bytes,LST,97732585703.82487,0.8948139105129413,-0.15619132351414677
symbolic_volume_write_bytes,L3 Misses,27442699814.196552,1.0760418359095194,-0.4833303906172244
symbolic_volume_write_bytes,L3 DRead + DWrite,464302656683.7075,1.1114644243075127,-0.060196574655732915
symbolic_volume_write_bytes,L3 DMisses,27442699814.196552,1.0760418359095194,-0.4833303906172244
symbolic_volume_write_bytes,L3 Access,439687299375.1252,0.9044634957540687,-0.05488925121830324
symbolic_volume_write_bytes,PAPI FLOPs,342928030546.2807,1959.3892237014231,-0.08719820095840669
symbolic_volume_read_bytes,L2 Misses,445227799181.19635,0.780963722462841,0.0244745342437811
symbolic_volume_read_bytes,L2 DRead + DWrite,437766757935.9462,0.7538722318742326,0.05434967266961199
symbolic_volume_read_bytes,L2 DMisses,445227799181.19635,0.780963722462841,0.0244745342437811
symbolic_volume_read_bytes,L2 Access,410642347790.01984,0.8167669576057363,0.08403570160675866
symbolic_volume_read_bytes,LST,79454782147.42723,0.7556488663015721,0.23582819411101597
symbolic_volume_read_bytes,L3 Misses,20312358150.69954,1.4242976512329828,0.18734742550251526
symbolic_volume_read_bytes,L3 DRead + DWrite,438185221302.0396,1.9118395786695455,0.05572278291221744
symbolic_volume_read_bytes,L3 DMisses,20312358150.69954,1.4242976512329828,0.18734742550251526
symbolic_volume_read_bytes,L3 Access,412337648754.94434,0.7574953970700188,0.07226272648512444
symbolic_volume_read_bytes,PAPI FLOPs,343083076125.13086,2100424.1834956934,-0.08818151737162139
