benchmark,L2 Misses,L2 DRead + DWrite,L2 DMisses,L2 Access,LST,L3 Misses,L3 DRead + DWrite,L3 DMisses,L3 Access,PAPI FLOPs,kernel,preset,symbolic_volume_read_bytes,symbolic_volume_write_bytes,work,Symbolic Bytes
adi,93268204793.6,35905829184.0,93268204793.6,52652959500.8,28853670754.8,27399626604.8,48077436934.4,27399626604.8,93793866828.8,372006013.0,adi,L,3968860976.0,1192411360.0,372105613.0,5161272336.0
arc_distance,3325022060.8,2562598368.0,3325022060.8,1711448064.0,7315220732.8,2760525964.8,288130579.2,2760525964.8,3324570790.4,1401887893.0,arc_distance,L,319999968.0,79999992.0,180000000.0,399999960.0
atax,55880008486.4,32571492416.0,55880008486.4,32575986438.4,20048301303.2,20502065312.0,31382136550.4,20502065312.0,55700878771.2,2000000000.0,atax,L,7999640000.0,359984.0,2000000000.0,7999999984.0
azimint_hist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520884455.6,azimint_hist,L,4480063992.0,640056024.0,400005004.0,5120120016.0
bicg,57801573696.0,32533414316.8,57801573696.0,32545551993.6,20050853618.4,40459687334.4,32157096883.2,40459687334.4,57735218214.4,2000000000.0,bicg,L,7999640000.0,359984.0,2000000000.0,7999999984.0
cavity_flow,8428625004.8,20161565459.2,8428625004.8,14084232288.0,11311088626.0,1914767097.6,3143793401.6,1914767097.6,8309818969.6,910942700.0,cavity_flow,L,5372344800.0,1503428000.0,910853100.0,6875772800.0
cholesky,169477609068.8,0.0,169477609068.8,0.0,35990556459.6,58893067360.0,0.0,58893067360.0,0.0,288872814.1,cholesky,L,1960215584.0,12981584.0,243405150.0,1973197168.0
compute,26466309433.6,20037240979.2,26466309433.6,13006930291.2,15443086796.8,22646173273.6,2405613734.4,22646173273.6,26467804691.2,0.0,compute,L,10239488016.0,2047744008.0,1024000000.0,12287232024.0
conv2d_bias,26129111014.4,5375968192.0,26129111014.4,14189390022.4,21695287415.2,981228614.4,13525269107.2,981228614.4,31873665824.0,0.0,conv2d_bias,L,580837796.0,455994392.0,544688704.0,1036832188.0
covariance,2625520433747.2,2621567281516.8,2625520433747.2,2625128297606.4,414180688489.2,112640421203.2,2623909913862.4,112640421203.2,2625525413286.4,41003639407.0,covariance,L,164218854400.0,348128000.0,41003528000.0,164566982400.0
deriche,26092553427.2,11814363532.8,26092553427.2,16604094406.4,12198658921.6,8323595334.4,13301015052.8,8323595334.4,26081541043.2,575811073.0,deriche,L,5181408768.0,2014944504.0,575811037.0,7196353272.0
durbin,60073166528.0,12480157017.6,60073166528.0,25759000716.8,19226236364.0,18029881376.0,24237659782.4,18029881376.0,59510866560.0,968071151.2,durbin,L,11200559984.0,4800879992.0,800039996.0,16001439976.0
fdtd_2d,9733152371.2,16697432332.800001,9733152371.2,11801904640.0,13013282972.4,260125331.2,424736928.0,260125331.2,9722904460.8,1185960750.0,fdtd_2d,L,6028698000.0,2582890800.0,1185960750.0,8611588800.0
gemm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840161000000.0,gemm,L,3083404040.0,1287648024.0,840161000000.0,4371052064.0
gemver,13297684480.0,12076070867.2,13297684480.0,10364791174.4,9666160476.4,7613326534.4,5756540032.0,7613326534.4,13295107622.4,900040000.0,gemver,L,3200559928.0,1600079976.0,900040000.0,4800639904.0
gesummv,9382973465.6,5503589619.2,9382973465.6,3503447481.6,11035294406.8,8271937632.0,683333401.5999999,8271937632.0,9386197830.4,1176014000.0,gesummv,L,9407552000.0,3135887992.0,1176014000.0,12543439992.0
go_fast,6379836076.8,4761812908.8,6379836076.8,3111791769.6,3229897317.2,5820602739.2,721451251.2,5820602739.2,6379867603.2,400731172.0,go_fast,L,6400320008.0,3200160016.0,400040000.0,9600480024.0
gramschmidt,79118305542.4,29438090246.4,79118305542.4,40190366624.0,23392879408.8,23410796550.4,39239603948.8,23410796550.4,84834793043.2,356832163.4,gramschmidt,L,3005608000.0,608593216.0,300175250.0,3614201216.0
hdiff,9854238246.4,5799184390.4,9854238246.4,4098305779.2,5375462508.8,8428915654.4,1061954144.0,8428915654.4,9853263660.8,379088000.0,hdiff,L,1314421200.0,562206192.0,449682560.0,1876627392.0
heat_3d,10304729561.6,18451381984.0,10304729561.6,13273420902.4,10419446728.0,3103657414.4,1023915936.0,3103657414.4,10321116576.0,933863040.0,heat_3d,L,996766848.0,952817184.0,933863040.0,1949584032.0
jacobi_1d,22875483033.6,30059190579.2,22875483033.6,24246151417.6,24442579355.6,8402740755.2,10144760716.8,8402740755.2,22965811436.8,1733694012.0,jacobi_1d,L,4623320016.0,4623048048.0,1733694012.0,9246368064.0
jacobi_2d,9530715916.8,19624156179.2,9530715916.8,14905262412.8,12193928137.6,2531818739.2,2710517996.8,2531818739.2,9817593785.6,969535960.0,jacobi_2d,L,1555705584.0,1546815856.0,969535960.0,3102521440.0
k2mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1131132000000.0,k2mm,L,3153256056.0,1367580032.0,1131132000000.0,4520836088.0
k3mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1501500000000.0,k3mm,L,1971384048.0,901704024.0,1501500000000.0,2873088072.0
ludcmp,95930135289.6,34957334182.4,95930135289.6,48120047116.8,27925647737.2,30222079936.0,44517320940.8,30222079936.0,103306685248.0,222868292.8,ludcmp,L,1479907000.0,10197184.0,183716325.0,1490104184.0
mlp,986569004179.2,929819997696.0,986569004179.2,0.0,403361004725.6,7278223417.6,929366242713.6,7278223417.6,0.0,104.0,mlp,L,7208639820.0,6719836.0,28803120000.0,7215359656.0
mvt,37050116057.6,31430145273.6,37050116057.6,31416083104.0,19405781576.4,11798816691.2,31166455884.8,11798816691.2,37039316819.2,1936044000.0,mvt,L,7744351968.0,703968.0,1936044000.0,7745055936.0
