symbolic_metric,measured_metric,RMSE,RMAE,R2
Symbolic Bytes,L2 Misses,7325804140.909619,0.5792854583876333,0.03673414308982015
Symbolic Bytes,L2 DRead + DWrite,11300692519.118357,0.9578951847907716,-0.015030437814316455
Symbolic Bytes,L2 DMisses,7325804140.909619,0.5792854583876333,0.03673414308982015
Symbolic Bytes,L2 Access,9361329187.611359,1.5126081904301025,-0.008699159483239294
Symbolic Bytes,LST,8966659677.464252,0.9190187729798702,-0.26798857416273614
Symbolic Bytes,L3 Misses,3115164311.6825624,0.5303200231277198,-0.8425517853009523
Symbolic Bytes,L3 DRead + DWrite,7421571673.183945,7.535061540167743,-2.1951585063155
Symbolic Bytes,L3 DMisses,3115164311.6825624,0.5303200231277198,-0.8425517853009523
Symbolic Bytes,L3 Access,7367441269.421295,0.5795621603092036,0.035458813541278555
Symbolic Bytes,PAPI FLOPs,8235560142.84028,9.41786873248951,-280.7003283893759
symbolic_volume_write_bytes,L2 Misses,9909817958.679193,0.7345069947573248,-0.7626533610696411
symbolic_volume_write_bytes,L2 DRead + DWrite,12856957380.316265,0.6432868481337761,-0.31384870546169785
symbolic_volume_write_bytes,L2 DMisses,9909817958.679193,0.7345069947573248,-0.7626533610696411
symbolic_volume_write_bytes,L2 Access,9847216835.113947,0.4739740174049569,-0.11612703200584873
symbolic_volume_write_bytes,LST,11264587724.749462,0.631240678881423,-1.0011727000689281
symbolic_volume_write_bytes,L3 Misses,3698547769.795336,0.6229845916345234,-1.5972888418002498
symbolic_volume_write_bytes,L3 DRead + DWrite,3266942389.2113204,2.072867508731413,0.3808675203413836
symbolic_volume_write_bytes,L3 DMisses,3698547769.795336,0.6229845916345234,-1.5972888418002498
symbolic_volume_write_bytes,L3 Access,9951898334.230368,0.7347342197162094,-0.7599457196476997
symbolic_volume_write_bytes,PAPI FLOPs,2333112850.104816,2.8154661403800576,-21.608542117410508
symbolic_volume_read_bytes,L2 Misses,9248954485.441204,0.4268705441162258,-0.5353975549057057
symbolic_volume_read_bytes,L2 DRead + DWrite,12941584009.273916,0.693690265700047,-0.33120156864621286
symbolic_volume_read_bytes,L2 DMisses,9248954485.441204,0.4268705441162258,-0.5353975549057057
symbolic_volume_read_bytes,L2 Access,10400294565.04029,1.0910910018388227,-0.2450245183353652
symbolic_volume_read_bytes,LST,10658767279.801231,0.7240487172762242,-0.791710862758841
symbolic_volume_read_bytes,L3 Misses,2338048351.163031,0.39268674791931224,-0.03792210515449179
symbolic_volume_read_bytes,L3 DRead + DWrite,5891707383.688129,5.323368100113593,-1.0136453055014476
symbolic_volume_read_bytes,L3 DMisses,2338048351.163031,0.39268674791931224,-0.03792210515449179
symbolic_volume_read_bytes,L3 Access,9293483088.303873,0.42697866474485885,-0.5347740161644206
symbolic_volume_read_bytes,PAPI FLOPs,5321505989.185619,6.102402592109451,-116.61702158712278
