kernel,preset,symbolic_volume_read_bytes,symbolic_volume_write_bytes,work
adi,L,3968860976,1192411360,372105613
arc_distance,L,319999968,79999992,180000000
atax,L,7999640000,359984,2000000000
azimint_hist,L,4480063992,640056024,400005004
bicg,L,7999640000,359984,2000000000
cavity_flow,L,5372344800,1503428000,910853100
cholesky,L,1960215584,12981584,243405150
compute,L,10239488016,2047744008,1024000000
conv2d_bias,L,580837796,455994392,544688704
covariance,L,164218854400,348128000,41003528000
deriche,L,5181408768,2014944504,575811037
durbin,L,11200559984,4800879992,800039996
fdtd_2d,L,6028698000,2582890800,1185960750
gemm,L,3083404040,1287648024,840161000000
gemver,L,3200559928,1600079976,900040000
gesummv,L,9407552000,3135887992,1176014000
go_fast,L,6400320008,3200160016,400040000
gramschmidt,L,3005608000,608593216,300175250
hdiff,L,1314421200,562206192,449682560
heat_3d,L,996766848,952817184,933863040
jacobi_1d,L,4623320016,4623048048,1733694012
jacobi_2d,L,1555705584,1546815856,969535960
k2mm,L,3153256056,1367580032,1131132000000
k3mm,L,1971384048,901704024,1501500000000
ludcmp,L,1479907000,10197184,183716325
mlp,L,7208639820,6719836,28803120000
mvt,L,7744351968,703968,1936044000
resnet,L,3000983384,1226214736,913848960
seidel_2d,L,97914960,61096464,13760604
softmax,L,3024491400,1513935360,822083584
symm,L,1360582808,277965608,135520000
syr2k,L,1350883200,227441600,168500200
syrk,L,2173684800,727442400,180780300
trisolv,L,1568560000,672000,196000000
trmm,L,2016474408,1008232008,252000000
vadv,L,904223272,573841544,154774800
adi,paper,1255161776,377942560,117691213
arc_distance,paper,319999968,79999992,180000000
atax,paper,6335680000,319984,1584000000
azimint_hist,paper,112063992,16056024,10005004
bicg,paper,6335680000,319984,1584000000
cavity_flow,paper,20954645600,5994012000,3225033700
cholesky,paper,21413367984,64047984,2668667000
compute,paper,6249600016,1249800008,625000000
conv2d_bias,paper,20624833524,17084838408,17262306432
covariance,paper,8114872000,47988800,2021763000
deriche,paper,9551701248,3714486264,1061431237
durbin,paper,7168447984,3072703992,512031996
fdtd_2d,paper,33516860000,14360836000,6591202500
gemm,paper,282858440,115094424,23934400000
gemver,paper,2048447928,1024063976,576032000
gesummv,paper,6020761600,2006950392,752651200
go_fast,paper,2500200008,1250100016,156275000
gramschmidt,paper,192899200,39773296,19228100
hdiff,paper,584517072,249762288,200174720
heat_3d,paper,26241587648,25574556384,24596189040
jacobi_1d,paper,2047424016,2047296048,767760012
jacobi_2d,paper,125225065584,125046172656,78209751960
k2mm,paper,1063244856,450316832,212012800000
k3mm,paper,739462448,327500824,337920000000
ludcmp,paper,42810760000,96175984,5339331000
mlp,paper,1242611820,2351836,4961800000
mvt,paper,4096255968,511968,1024032000
resnet,paper,11757811160,4816351440,3574625536
seidel_2d,paper,1003962960,626964624,141137964
softmax,paper,3952012680,1977937920,1073741824
symm,paper,24081582408,4852790408,2404800000
syr2k,paper,34619529600,5789764800,4324320600
syrk,paper,17334729600,5789764800,1443120600
trisolv,paper,2048640000,768000,256000000
trmm,paper,9601590408,4800786408,1200000000
vadv,paper,1831858600,1162909640,313065472
